model_name,lr,lora_r,template_type,best-val-epoch,best-val-f1,loss,accuracy,precision,recall,f1
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.0001,32,1,6.0,0.9617413915399171,0.3095430913178817,0.9728260869565217,0.968416158678331,0.9705834014363286,0.9693532311871648
rinna/japanese-gpt-neox-3.6b,0.0003,8,2,9.0,0.9644169154794899,0.01162599610245746,0.9728260869565217,0.9694760772514862,0.9691919571502984,0.9692596581570049
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.0005,32,1,9.0,0.9724533779815925,0.3143276960953422,0.9728260869565217,0.9688594059208808,0.9698862829266831,0.9692123978806281
rinna/japanese-gpt-neox-3.6b,0.0001,32,1,5.0,0.9586764710145788,0.3407224572223166,0.9728260869565217,0.9684021430407908,0.9701242834323176,0.9691399105225713
rinna/japanese-gpt-neox-3.6b,0.001,64,2,8.0,0.9722178251982494,0.19521456179411514,0.9728260869565217,0.969571761239398,0.9684849090012144,0.9688862165533373
cyberagent/open-calm-7b,0.001,32,2,5.0,0.9687790086726576,0.5211613281913425,0.9728260869565217,0.9686593614999146,0.9685751576362038,0.9684875154665361
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.001,32,2,6.0,0.9702094602472392,0.413647693136464,0.9714673913043478,0.9704336580983851,0.9671754141693761,0.9684138666522162
rinna/japanese-gpt-neox-3.6b,0.0005,8,2,9.0,0.9745265022260914,0.0001252619144709214,0.9714673913043478,0.9696909476867,0.9675000833840384,0.9683212865779591
rinna/japanese-gpt-neox-3.6b-instruction-sft-v2,0.001,32,0,7.0,0.9704718337442715,0.3859038145645805,0.9714673913043478,0.9711221699533995,0.9659990027012361,0.9679901382825964
cyberagent/open-calm-7b,0.0003,32,1,4.0,0.967333880876327,0.5842589502749236,0.9714673913043478,0.9688355733443237,0.9677480296338514,0.967982638189313
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.0001,32,0,7.0,0.9598437040586512,0.2658127909121306,0.970108695652174,0.9685671595637471,0.9673265772999103,0.9676432060516594
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.0001,32,0,8.0,0.9711480024736834,0.324414004450259,0.970108695652174,0.969031118268849,0.9669559911428954,0.9676426003327513
rinna/japanese-gpt-neox-3.6b,0.0001,32,2,6.0,0.9479486156840069,0.27199859204499616,0.970108695652174,0.9685454813262968,0.9671523401339012,0.9676011282967338
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.0001,32,1,9.0,0.9645052874801946,0.2673691873965056,0.970108695652174,0.9678578570495906,0.9676589030741367,0.9674300286810088
cyberagent/open-calm-7b,0.001,32,0,7.0,0.9665204584392776,0.7765658834706182,0.9728260869565217,0.9697009540615986,0.9659304108845949,0.9673031370230147
rinna/japanese-gpt-neox-3.6b-instruction-sft,0.0005,32,0,5.0,0.966757029688752,0.313592703446098,0.9714673913043478,0.9686914970662366,0.9658929023452196,0.9670071532156673
cyberagent/open-calm-3b,0.001,32,2,4.0,0.9762134029010038,0.3739713171254034,0.9714673913043478,0.967067080433417,0.9674069842100557,0.9669873812176445
rinna/japanese-gpt-neox-3.6b,0.001,32,0,5.0,0.9661477517122675,0.46608543395996094,0.9714673913043478,0.9668219206511591,0.9672679680937202,0.9669080183716638
rinna/japanese-gpt-neox-3.6b,0.001,8,2,6.0,0.9710707111368898,0.19719045058540677,0.9714673913043478,0.9679201360875409,0.9659438047549348,0.9667860443126861
rinna/japanese-gpt-neox-3.6b,0.0001,8,2,9.0,0.9595884682735615,0.004659805284894031,0.970108695652174,0.966708297176172,0.9669058272059551,0.9666826447470734
rinna/japanese-gpt-neox-3.6b-instruction-ppo,0.0005,32,2,5.0,0.9657077855902104,0.44745167441990064,0.970108695652174,0.9658403866192489,0.9671859575007227,0.9663751503832526
cyberagent/open-calm-7b,0.0005,32,0,4.0,0.9627292233650849,0.5107569072557532,0.970108695652174,0.9662971662162142,0.9659972742375172,0.9658561532009488
rinna/japanese-gpt-neox-3.6b,0.0001,4,2,7.0,0.9553236069334177,0.00440743889497674,0.96875,0.9659643956609479,0.9658072215832701,0.9657746438171196
cyberagent/open-calm-7b,0.0003,32,0,7.0,0.9706802625048326,0.6126027729200281,0.970108695652174,0.9651957120265597,0.9665182555769127,0.9655961069048524
cyberagent/open-calm-7b,0.0005,32,1,9.0,0.9721767440618394,0.4630058122717816,0.970108695652174,0.9675934574125561,0.9641708318193566,0.9655370120538438
cyberagent/open-calm-7b,0.0001,32,1,4.0,0.9561789319421405,0.5216723317685334,0.96875,0.9644936192182705,0.9664563805658027,0.9652807720010528
